url,verdict,coverageState,lastCrawlTime,robotsTxtState,indexingState,pageFetchState,googleCanonical,userCanonical,sitemapListed
blog/youtube-marketing-roi,PASS,Submitted and indexed,2026-08-21T23:18:02Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-marketing-roi,https://sellontube.com/blog/youtube-marketing-roi,https://sellontube.com/sitemap-index.xml
youtube-for/law-firms,NEUTRAL,Crawled - currently not indexed,2026-08-21T19:51:45Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/law-firms,https://sellontube.com/youtube-for/law-firms,https://sellontube.com/sitemap-index.xml
youtube-for/saas,NEUTRAL,Crawled - currently not indexed,2026-08-06T21:43:46Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/saas,https://sellontube.com/youtube-for/saas,https://sellontube.com/sitemap-index.xml
blog/search-intent-youtube-seo-power,NEUTRAL,Crawled - currently not indexed,2026-07-19T11:50:35Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/search-intent-youtube-seo-power,https://sellontube.com/blog/search-intent-youtube-seo-power,https://sellontube.com/sitemap-index.xml
blog/why-most-youtube-strategies-fail,NEUTRAL,Crawled - currently not indexed,2026-07-16T23:10:10Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/why-most-youtube-strategies-fail,https://sellontube.com/blog/why-most-youtube-strategies-fail,NOT-IN-SITEMAP
youtube-for/shopify,PASS,Submitted and indexed,2026-08-26T15:38:03Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/shopify,https://sellontube.com/youtube-for/shopify,https://sellontube.com/sitemap-index.xml
youtube-vs/webinars,PASS,Submitted and indexed,2026-08-26T03:32:38Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-vs/webinars,https://sellontube.com/youtube-vs/webinars,https://sellontube.com/sitemap-index.xml
youtube-video-ideas/agency-pricing-structure-videos,NEUTRAL,Crawled - currently not indexed,2026-07-04T08:39:45Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-video-ideas/agency-pricing-structure-videos,https://sellontube.com/youtube-video-ideas/agency-pricing-structure-videos,https://sellontube.com/sitemap-index.xml
blog/how-to-find-youtube-video-ranking-keywords,NEUTRAL,Crawled - currently not indexed,2026-06-20T11:18:58Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/how-to-find-youtube-video-ranking-keywords,https://sellontube.com/blog/how-to-find-youtube-video-ranking-keywords,https://sellontube.com/sitemap-index.xml
youtube-for/course-creators,NEUTRAL,Crawled - currently not indexed,2026-06-14T05:39:13Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/course-creators,https://sellontube.com/youtube-for/course-creators,https://sellontube.com/sitemap-index.xml
youtube-video-ideas/agency-process-transparency-videos,NEUTRAL,Crawled - currently not indexed,2026-06-13T00:55:20Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-video-ideas/agency-process-transparency-videos,https://sellontube.com/youtube-video-ideas/agency-process-transparency-videos,https://sellontube.com/sitemap-index.xml
youtube-vs/referral-marketing,NEUTRAL,Crawled - currently not indexed,2026-06-12T22:44:49Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-vs/referral-marketing,https://sellontube.com/youtube-vs/referral-marketing,https://sellontube.com/sitemap-index.xml
youtube-for/marketing-agencies,PASS,Submitted and indexed,2026-08-23T18:03:04Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/marketing-agencies,https://sellontube.com/youtube-for/marketing-agencies,https://sellontube.com/sitemap-index.xml
youtube-for/fintech-companies,NEUTRAL,Crawled - currently not indexed,2026-06-02T11:05:44Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/fintech-companies,https://sellontube.com/youtube-for/fintech-companies,https://sellontube.com/sitemap-index.xml
blog/youtube-titles-for-business,PASS,Submitted and indexed,2026-08-26T03:32:38Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-titles-for-business,https://sellontube.com/blog/youtube-titles-for-business,https://sellontube.com/sitemap-index.xml
youtube-video-ideas/coach-results-videos,NEUTRAL,Crawled - currently not indexed,2026-05-21T11:30:13Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-video-ideas/coach-results-videos,https://sellontube.com/youtube-video-ideas/coach-results-videos,https://sellontube.com/sitemap-index.xml
youtube-vs/paid-ads,NEUTRAL,Crawled - currently not indexed,2026-05-20T18:16:37Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-vs/paid-ads,https://sellontube.com/youtube-vs/paid-ads,https://sellontube.com/sitemap-index.xml
blog/youtube-marketing-strategy,NEUTRAL,Crawled - currently not indexed,2026-05-20T02:39:15Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-marketing-strategy,https://sellontube.com/blog/youtube-marketing-strategy,https://sellontube.com/sitemap-index.xml
blog/compounding-effect-four-videos-a-month,NEUTRAL,Crawled - currently not indexed,2026-05-18T16:19:43Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/compounding-effect-four-videos-a-month,https://sellontube.com/blog/compounding-effect-four-videos-a-month,https://sellontube.com/sitemap-index.xml
blog/youtube-seo-guide,PASS,Submitted and indexed,2026-08-26T03:34:36Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-seo-guide,https://sellontube.com/blog/youtube-seo-guide,https://sellontube.com/sitemap-index.xml
blog/youtube-marketing-b2b,NEUTRAL,Crawled - currently not indexed,2026-05-14T18:32:24Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-marketing-b2b,https://sellontube.com/blog/youtube-marketing-b2b,https://sellontube.com/sitemap-index.xml
youtube-for/coaches,NEUTRAL,Crawled - currently not indexed,2026-05-14T17:32:24Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/coaches,https://sellontube.com/youtube-for/coaches,NOT-IN-SITEMAP
youtube-for/consultants,NEUTRAL,Crawled - currently not indexed,2026-05-13T01:41:46Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/consultants,https://sellontube.com/youtube-for/consultants,https://sellontube.com/sitemap-index.xml
youtube-for/small-business,NEUTRAL,Crawled - currently not indexed,2026-05-13T00:03:53Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/small-business,https://sellontube.com/youtube-for/small-business,https://sellontube.com/sitemap-index.xml
youtube-vs/instagram,NEUTRAL,Crawled - currently not indexed,2026-05-08T18:06:47Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-vs/instagram,https://sellontube.com/youtube-vs/instagram,https://sellontube.com/sitemap-index.xml
youtube-video-ideas/agency-case-study-videos,NEUTRAL,Crawled - currently not indexed,2026-05-04T16:46:41Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-video-ideas/agency-case-study-videos,https://sellontube.com/youtube-video-ideas/agency-case-study-videos,https://sellontube.com/sitemap-index.xml
