Country,Clicks,Impressions,CTR,Position
India,89,6031,1.48%,22.73
United States,40,65564,0.06%,28.47
Pakistan,25,871,2.87%,9.8
Bangladesh,18,284,6.34%,12.7
United Kingdom,9,9887,0.09%,29.8
Indonesia,8,249,3.21%,11.93
Philippines,7,268,2.61%,12.75
Germany,6,1493,0.4%,14.39
Canada,5,2705,0.18%,29.09
Australia,5,522,0.96%,17.85
France,5,331,1.51%,8.6
Ethiopia,5,42,11.9%,8.38
Brazil,4,612,0.65%,11.15
Egypt,4,137,2.92%,13.36
Malta,4,26,15.38%,14.46
Turkey,3,102,2.94%,10.1
Taiwan,3,85,3.53%,7.68
Kenya,3,69,4.35%,8.29
Tunisia,3,58,5.17%,7.36
Italy,2,396,0.51%,9.51
Mexico,2,281,0.71%,11.08
United Arab Emirates,2,204,0.98%,10.96
Poland,2,176,1.14%,10.58
Morocco,2,162,1.23%,9.75
Russia,2,156,1.28%,17.69
Saudi Arabia,2,155,1.29%,15.54
Nigeria,2,136,1.47%,7.68
Portugal,2,109,1.83%,14.31
Nepal,2,108,1.85%,10.06
Sweden,2,96,2.08%,13.55
Oman,2,21,9.52%,6.29
Denmark,1,2980,0.03%,20.27
Netherlands,1,1553,0.06%,10.44
Vietnam,1,390,0.26%,14.84
South Korea,1,386,0.26%,9.12
Singapore,1,175,0.57%,9.58
New Zealand,1,175,0.57%,12.79
Thailand,1,139,0.72%,12
Hong Kong,1,97,1.03%,9.58
Malaysia,1,93,1.08%,12.03
Belgium,1,81,1.23%,10.96
South Africa,1,68,1.47%,12.07
Belarus,1,64,1.56%,13.98
Algeria,1,47,2.13%,9.81
Qatar,1,38,2.63%,7.63
Ghana,1,32,3.12%,6.94
Dominican Republic,1,32,3.12%,9.47
Albania,1,27,3.7%,8.93
Bolivia,1,26,3.85%,9.12
Uganda,1,25,4%,8.56
Bahrain,1,19,5.26%,9.84
Armenia,1,17,5.88%,9.12
Cambodia,1,12,8.33%,7.92
Angola,1,6,16.67%,22.17
Somalia,1,4,25%,8.25
