Country,Clicks,Impressions,CTR,Position
India,64,4224,1.52%,26.98
United States,17,39886,0.04%,34.07
Pakistan,17,463,3.67%,10.93
Bangladesh,11,152,7.24%,13.64
Indonesia,5,138,3.62%,11.49
Ethiopia,4,24,16.67%,10.54
United Kingdom,3,6200,0.05%,36.82
Brazil,3,369,0.81%,10.95
Australia,3,278,1.08%,22.36
Philippines,3,111,2.7%,14.96
Morocco,2,102,1.96%,8.93
Nigeria,2,57,3.51%,7.05
Kenya,2,37,5.41%,8.57
Malta,2,15,13.33%,17.8
Denmark,1,1624,0.06%,24.74
Germany,1,807,0.12%,16.91
Italy,1,265,0.38%,8.82
France,1,142,0.7%,8.96
New Zealand,1,133,0.75%,14.8
United Arab Emirates,1,115,0.87%,11.47
Poland,1,107,0.93%,11.16
Saudi Arabia,1,101,0.99%,16.59
Russia,1,100,1%,21.73
Singapore,1,92,1.09%,10.51
Nepal,1,72,1.39%,11.51
Thailand,1,68,1.47%,12.25
Egypt,1,60,1.67%,11.05
Hong Kong,1,58,1.72%,10.95
Malaysia,1,53,1.89%,10.34
Israel,1,51,1.96%,10.18
Sweden,1,51,1.96%,11.47
Turkey,1,51,1.96%,12.49
South Africa,1,46,2.17%,14.39
Taiwan,1,41,2.44%,7.66
Tunisia,1,28,3.57%,8.54
Belarus,1,23,4.35%,6.17
Oman,1,16,6.25%,4.69
Bolivia,1,15,6.67%,10.4
Armenia,1,14,7.14%,9.5
Moldova,1,11,9.09%,11.18
Cambodia,1,8,12.5%,8
Congo - Kinshasa,1,4,25%,14.75
Montenegro,1,2,50%,8
Canada,0,1808,0%,35.18
Netherlands,0,929,0%,10.93
Spain,0,295,0%,13.87
Vietnam,0,237,0%,18.24
Japan,0,235,0%,12.79
South Korea,0,231,0%,10.03
Mexico,0,131,0%,9.91
Ukraine,0,122,0%,22.36
Argentina,0,114,0%,14.7
China,0,102,0%,10.65
Switzerland,0,90,0%,16.08
Austria,0,79,0%,24.95
Colombia,0,77,0%,9.3
Romania,0,71,0%,14.3
Belgium,0,54,0%,12.85
Chile,0,48,0%,12.02
Peru,0,44,0%,8.95
Kuwait,0,44,0%,9.52
Iraq,0,44,0%,11.84
Portugal,0,44,0%,12.82
Norway,0,42,0%,7.52
Sri Lanka,0,37,0%,10.57
Ireland,0,37,0%,14.24
Ecuador,0,36,0%,9.11
Greece,0,33,0%,15.7
Algeria,0,28,0%,8.46
Czechia,0,27,0%,13.33
Finland,0,25,0%,15.2
Uzbekistan,0,24,0%,8.25
Venezuela,0,24,0%,13.04
Iran,0,23,0%,9.3
Bulgaria,0,23,0%,12.87
Azerbaijan,0,22,0%,7.09
Georgia,0,22,0%,9.59
Palestine,0,22,0%,10.82
Syria,0,21,0%,5.33
Jordan,0,21,0%,9.62
Paraguay,0,21,0%,13.14
Slovenia,0,21,0%,19.33
Kazakhstan,0,19,0%,8.84
Qatar,0,18,0%,8.11
Hungary,0,17,0%,7.82
Albania,0,16,0%,7.5
Serbia,0,16,0%,7.62
Lithuania,0,16,0%,8.69
Dominican Republic,0,15,0%,8.67
Jamaica,0,14,0%,7.71
Myanmar (Burma),0,13,0%,8.23
Croatia,0,13,0%,9.69
Costa Rica,0,13,0%,10.08
Estonia,0,12,0%,6.25
Kyrgyzstan,0,12,0%,7.5
Uganda,0,12,0%,9.92
Latvia,0,12,0%,10.58
Bahrain,0,12,0%,11.25
Guatemala,0,11,0%,15.73
Slovakia,0,10,0%,11.4
Libya,0,9,0%,6.11
Puerto Rico,0,9,0%,7.11
Ghana,0,9,0%,7.56
El Salvador,0,9,0%,7.56
Lebanon,0,9,0%,9.22
Cyprus,0,9,0%,17
Cameroon,0,7,0%,7
Bhutan,0,7,0%,8.29
Maldives,0,7,0%,9
Honduras,0,7,0%,9.14
Rwanda,0,7,0%,9.29
Mongolia,0,7,0%,9.57
Senegal,0,7,0%,10.86
Bosnia & Herzegovina,0,7,0%,12.86
Zambia,0,6,0%,7.17
Tanzania,0,6,0%,10.33
Kosovo,0,5,0%,6.4
Macedonia,0,5,0%,7.2
Angola,0,5,0%,25.6
Mauritius,0,4,0%,6.5
Cuba,0,4,0%,8
Afghanistan,0,4,0%,8.25
Mozambique,0,4,0%,15.5
British Virgin Islands,0,3,0%,4.33
Panama,0,3,0%,5.67
Tajikistan,0,3,0%,6
Yemen,0,3,0%,6
Trinidad & Tobago,0,3,0%,7.33
Uruguay,0,3,0%,7.67
Brunei,0,2,0%,1.5
Barbados,0,2,0%,3
Botswana,0,2,0%,3
St. Kitts & Nevis,0,2,0%,6.5
Suriname,0,2,0%,7
Aruba,0,2,0%,7.5
Iceland,0,2,0%,7.5
Côte d’Ivoire,0,2,0%,8
Guadeloupe,0,2,0%,8
Zimbabwe,0,2,0%,8.5
Mauritania,0,2,0%,9.5
Fiji,0,2,0%,11
Bahamas,0,2,0%,13
Namibia,0,2,0%,15
Guyana,0,1,0%,1
Liechtenstein,0,1,0%,2
Somalia,0,1,0%,2
Grenada,0,1,0%,3
Haiti,0,1,0%,3
Belize,0,1,0%,4
South Sudan,0,1,0%,6
Macau,0,1,0%,7
Niger,0,1,0%,7
Nicaragua,0,1,0%,8
Sudan,0,1,0%,8
Benin,0,1,0%,9
Malawi,0,1,0%,10
New Caledonia,0,1,0%,10
Sint Maarten,0,1,0%,10
Togo,0,1,0%,11
Turks & Caicos Islands,0,1,0%,12
Greenland,0,1,0%,15
Kiribati,0,1,0%,31
Monaco,0,1,0%,51
