Date,Clicks,Impressions,CTR,Position
2026-04-28,1,291,0.34%,47.1
2026-04-29,4,346,1.16%,43.1
2026-04-30,2,388,0.52%,30.5
2026-05-01,0,470,0%,31.8
2026-05-02,0,458,0%,38.9
2026-05-03,1,495,0.2%,33.6
2026-05-04,1,508,0.2%,41
2026-05-05,0,629,0%,31.4
2026-05-06,1,528,0.19%,41.5
2026-05-07,0,748,0%,49.6
2026-05-08,0,780,0%,38.8
2026-05-09,0,514,0%,40.4
2026-05-10,0,697,0%,48
2026-05-11,0,472,0%,43.4
2026-05-12,0,638,0%,40
2026-05-13,2,553,0.36%,47.4
2026-05-14,3,427,0.7%,42.7
2026-05-15,2,423,0.47%,45.9
2026-05-16,2,391,0.51%,41.6
2026-05-17,3,401,0.75%,43
2026-05-18,3,482,0.62%,42.9
2026-05-19,4,455,0.88%,46.7
2026-05-20,0,487,0%,47.2
2026-05-21,1,353,0.28%,43.9
2026-05-22,0,578,0%,47.4
2026-05-23,1,463,0.22%,45.5
2026-05-24,0,820,0%,45.2
2026-05-25,1,1628,0.06%,42.9
