Country,Clicks,Impressions,CTR,Position
India,13,712,1.83%,48.95
Pakistan,6,92,6.52%,14.83
Indonesia,3,43,6.98%,10.47
Bangladesh,3,31,9.68%,30.52
United States,2,10651,0.02%,43.99
United Kingdom,1,1583,0.06%,54.16
United Arab Emirates,1,28,3.57%,13.04
Kenya,1,9,11.11%,10.33
Congo - Kinshasa,1,4,25%,14.75
Malta,1,4,25%,23
Canada,0,510,0%,55.23
Denmark,0,298,0%,33.31
Brazil,0,105,0%,10.34
Germany,0,93,0%,27.37
Vietnam,0,64,0%,28.06
Spain,0,56,0%,14.52
Netherlands,0,52,0%,13.67
South Korea,0,51,0%,11.76
Australia,0,47,0%,39.04
Singapore,0,44,0%,8.02
Mexico,0,43,0%,11.88
China,0,38,0%,9.58
France,0,37,0%,11.81
Morocco,0,36,0%,10.11
Ukraine,0,34,0%,23.24
New Zealand,0,31,0%,31.45
Colombia,0,26,0%,10.08
Italy,0,26,0%,13.31
Iraq,0,25,0%,12.16
Argentina,0,25,0%,19.8
Japan,0,24,0%,9.25
Austria,0,22,0%,36.27
Philippines,0,20,0%,14.15
Saudi Arabia,0,19,0%,10.32
Belgium,0,18,0%,14.61
Syria,0,17,0%,5.06
Russia,0,16,0%,18.06
Israel,0,15,0%,8.4
Poland,0,15,0%,8.73
Egypt,0,15,0%,13.53
Thailand,0,15,0%,18.2
Nigeria,0,14,0%,7.14
Uzbekistan,0,14,0%,7.57
Chile,0,14,0%,8.86
Azerbaijan,0,13,0%,6.23
Jordan,0,13,0%,10.77
South Africa,0,12,0%,15.33
Tunisia,0,11,0%,9.45
Ecuador,0,11,0%,10.36
Turkey,0,11,0%,12.09
Switzerland,0,11,0%,23.64
Romania,0,10,0%,7.8
Portugal,0,10,0%,15.4
Paraguay,0,10,0%,17.5
Taiwan,0,9,0%,6.67
Lithuania,0,9,0%,7.56
Nepal,0,9,0%,15
Greece,0,9,0%,16.78
Sweden,0,8,0%,7.5
Malaysia,0,8,0%,8.12
Algeria,0,8,0%,16.62
El Salvador,0,7,0%,7.29
Latvia,0,7,0%,8.43
Peru,0,7,0%,9
Armenia,0,7,0%,12.14
Bolivia,0,7,0%,14.14
Ireland,0,7,0%,17.14
Bulgaria,0,7,0%,19.29
Sri Lanka,0,7,0%,19.29
Hong Kong,0,6,0%,6.67
Croatia,0,6,0%,12.67
Georgia,0,6,0%,13.17
Bahrain,0,6,0%,14.67
Kuwait,0,6,0%,16.17
Venezuela,0,6,0%,21
Kyrgyzstan,0,5,0%,8
Jamaica,0,5,0%,8.2
Hungary,0,5,0%,9.6
Cyprus,0,5,0%,16
Oman,0,4,0%,2.5
Cambodia,0,4,0%,7.75
Albania,0,4,0%,8.25
Serbia,0,4,0%,9.5
Norway,0,4,0%,10
Costa Rica,0,4,0%,13
Senegal,0,4,0%,13
Palestine,0,4,0%,27.75
Ghana,0,3,0%,3.33
Slovenia,0,3,0%,5.67
Belarus,0,3,0%,6.33
Estonia,0,3,0%,6.33
Rwanda,0,3,0%,7.33
Lebanon,0,3,0%,8.33
Maldives,0,3,0%,10.67
Mongolia,0,3,0%,11.67
Ethiopia,0,3,0%,29
Angola,0,3,0%,36
Yemen,0,2,0%,4
Finland,0,2,0%,6.5
Puerto Rico,0,2,0%,8
Moldova,0,2,0%,9
Honduras,0,2,0%,9.5
Uganda,0,2,0%,10.5
Kazakhstan,0,2,0%,11
Slovakia,0,2,0%,11
Iran,0,2,0%,14.5
Tanzania,0,2,0%,19.5
Guatemala,0,2,0%,22
Libya,0,1,0%,1
Haiti,0,1,0%,3
Belize,0,1,0%,4
Kosovo,0,1,0%,4
Zambia,0,1,0%,4
Barbados,0,1,0%,5
Guadeloupe,0,1,0%,5
Bosnia & Herzegovina,0,1,0%,7
Cameroon,0,1,0%,8
Nicaragua,0,1,0%,8
Panama,0,1,0%,8
Sudan,0,1,0%,8
Benin,0,1,0%,9
Mauritius,0,1,0%,9
Cuba,0,1,0%,10
Mauritania,0,1,0%,10
Myanmar (Burma),0,1,0%,11
Dominican Republic,0,1,0%,16
Qatar,0,1,0%,43
