url,verdict,coverageState,lastCrawlTime,robotsTxtState,indexingState,pageFetchState,googleCanonical,userCanonical,sitemapListed
blog/best-youtube-rank-checker-tools-for-business,PASS,Submitted and indexed,2026-08-03T18:14:35Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/best-youtube-rank-checker-tools-for-business,https://sellontube.com/blog/best-youtube-rank-checker-tools-for-business,https://sellontube.com/sitemap-index.xml
blog/is-vidiq-worth-it-for-business,PASS,Submitted and indexed,2026-07-16T16:08:03Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/is-vidiq-worth-it-for-business,https://sellontube.com/blog/is-vidiq-worth-it-for-business,https://sellontube.com/sitemap-index.xml
blog/ai-tools-for-youtube,NEUTRAL,Not found (404),2026-05-19T17:05:06Z,ALLOWED,INDEXING_STATE_UNSPECIFIED,NOT_FOUND,,,https://sellontube.com/sitemap-index.xml
blog/best-youtube-autocomplete-keyword-tools,PASS,Submitted and indexed,2026-08-22T22:15:59Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/best-youtube-autocomplete-keyword-tools,https://sellontube.com/blog/best-youtube-autocomplete-keyword-tools,https://sellontube.com/sitemap-index.xml
blog/how-to-find-youtube-video-ranking-keywords,NEUTRAL,Crawled - currently not indexed,2026-06-20T11:18:58Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/how-to-find-youtube-video-ranking-keywords,https://sellontube.com/blog/how-to-find-youtube-video-ranking-keywords,https://sellontube.com/sitemap-index.xml
blog/youtube-script-writing-guide,PASS,Submitted and indexed,2026-07-16T04:41:26Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-script-writing-guide,https://sellontube.com/blog/youtube-script-writing-guide,https://sellontube.com/sitemap-index.xml
youtube-vs,PASS,Submitted and indexed,2026-08-23T20:40:04Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-vs,https://sellontube.com/youtube-vs,NOT-IN-SITEMAP
youtube-for,PASS,Submitted and indexed,2026-07-31T03:25:19Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for,https://sellontube.com/youtube-for,https://sellontube.com/sitemap-index.xml
blog/youtube-seo-guide,NEUTRAL,Crawled - currently not indexed,2026-05-14T18:47:24Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-seo-guide,https://sellontube.com/blog/youtube-seo-guide,https://sellontube.com/sitemap-index.xml
blog/youtube-keyword-research,PASS,Submitted and indexed,2026-07-16T07:00:54Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-keyword-research,https://sellontube.com/blog/youtube-keyword-research,https://sellontube.com/sitemap-index.xml
blog/youtube-titles-for-business,NEUTRAL,Crawled - currently not indexed,2026-05-23T08:24:22Z,ALLOWED,INDEXING_STATE_UNSPECIFIED,SUCCESSFUL,,,https://sellontube.com/sitemap-index.xml
blog/youtube-marketing-roi,PASS,Submitted and indexed,2026-08-21T23:18:02Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/blog/youtube-marketing-roi,https://sellontube.com/blog/youtube-marketing-roi,https://sellontube.com/sitemap-index.xml
youtube-for/shopify,NEUTRAL,Crawled - currently not indexed,2026-07-10T11:46:18Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-for/shopify,https://sellontube.com/youtube-for/shopify,https://sellontube.com/sitemap-index.xml
youtube-vs/webinars,NEUTRAL,Crawled - currently not indexed,2026-07-10T11:10:10Z,ALLOWED,INDEXING_ALLOWED,SUCCESSFUL,https://sellontube.com/youtube-vs/webinars,https://sellontube.com/youtube-vs/webinars,https://sellontube.com/sitemap-index.xml
